filename,order,age,gender,anger,comtempt,disgust,fear,happiness,neutral,sadness,surprise,Lat,Lon,‰æ‘œƒTƒCƒY,35mmŠ·ŽZ,—j“ú,“ú•t,ŽžŠÔ‘Ñ,happy_tf,male_tf,distance,—j“ú_tf
DSC08851-20191130,3,17,male,0.001,0,0,0,0.002,0.99,0.007,0,35.66008566,139.7006385,60,35,“y,2019/11/30,2,0,1,15.775,1
DSC08852-20191130,2,25,male,0,0,0,0,0,0.972,0.027,0,35.66031051,139.7006932,108,35,“y,2019/11/30,2,0,1,8.78,1
DSC08852-20191130,3,22,male,0.001,0,0,0.004,0.001,0.974,0.004,0.017,35.66031051,139.7006932,74,35,“y,2019/11/30,2,0,1,12.797,1
DSC08852-20191130,6,6,male,0,0,0,0,0,1,0,0,35.66031051,139.7006932,44,35,“y,2019/11/30,2,0,1,21.499,1
DSC08853-20191130,3,20,male,0,0.002,0.001,0,0.439,0.555,0.002,0,35.66038895,139.7006719,184,35,“y,2019/11/30,2,0,1,5.168,1
DSC08854-20191130,5,23,male,0.001,0.001,0,0,0.001,0.948,0.001,0.048,35.66053714,139.7006934,144,35,“y,2019/11/30,2,0,1,6.593,1
DSC08855-20191130,5,35,male,0.002,0,0,0,0.005,0.977,0.013,0.002,35.66020006,139.7006642,100,35,“y,2019/11/30,2,0,1,9.479,1
DSC08855-20191130,6,36,male,0,0.013,0,0,0,0.538,0.448,0,35.66020006,139.7006642,87,35,“y,2019/11/30,2,0,1,10.89,1
DSC08855-20191130,8,67,male,0.001,0.001,0,0,0.003,0.986,0.008,0.001,35.66020006,139.7006642,78,35,“y,2019/11/30,2,0,1,12.143,1
DSC08855-20191130,9,24,male,0.001,0.001,0,0,0,0.995,0.003,0,35.66020006,139.7006642,74,35,“y,2019/11/30,2,0,1,12.797,1
DSC08855-20191130,12,27,male,0,0,0,0,0.097,0.86,0.042,0,35.66020006,139.7006642,71,35,“y,2019/11/30,2,0,1,13.337,1
DSC08855-20191130,13,57,male,0,0.001,0,0,0.033,0.964,0.002,0.001,35.66020006,139.7006642,70,35,“y,2019/11/30,2,0,1,13.527,1
DSC08855-20191130,14,23,male,0,0,0,0,0,1,0,0,35.66020006,139.7006642,69,35,“y,2019/11/30,2,0,1,13.722,1
DSC08855-20191130,16,23,male,0,0.007,0.001,0,0.805,0.187,0,0,35.66020006,139.7006642,59,35,“y,2019/11/30,2,1,1,16.042,1
DSC08855-20191130,17,19,male,0.001,0,0,0,0.964,0.034,0.001,0,35.66020006,139.7006642,59,35,“y,2019/11/30,2,1,1,16.042,1
DSC08856-20191130,2,50,male,0,0,0,0,0,0.965,0.034,0,35.66020006,139.7006642,342,35,“y,2019/11/30,2,0,1,2.796,1
DSC08856-20191130,7,17,male,0,0,0,0,0,1,0,0,35.66020006,139.7006642,170,35,“y,2019/11/30,2,0,1,5.59,1
DSC08856-20191130,8,25,male,0,0,0,0,0,0.803,0,0.196,35.66020006,139.7006642,167,35,“y,2019/11/30,2,0,1,5.69,1
DSC08856-20191130,9,25,male,0,0.004,0,0,0.002,0.993,0,0.001,35.66020006,139.7006642,163,35,“y,2019/11/30,2,0,1,5.829,1
DSC08857-20191130,2,35,male,0,0.001,0,0,0.381,0.617,0,0.001,35.66058417,139.7007608,239,35,“y,2019/11/30,2,0,1,3.987,1
DSC08857-20191130,8,21,male,0.003,0,0,0,0,0.99,0.006,0,35.66058417,139.7007608,75,35,“y,2019/11/30,2,0,1,12.627,1
DSC08858-20191130,1,33,male,0,0,0,0,0.001,0.999,0,0,35.66064083,139.7007697,164,35,“y,2019/11/30,2,0,1,5.794,1
DSC08859-20191130,1,47,male,0,0,0,0,0,0.998,0.002,0,35.66093535,139.7007362,515,35,“y,2019/11/30,2,0,1,1.869,1
DSC08859-20191130,3,33,male,0,0,0,0,0.015,0.963,0.013,0.007,35.66093535,139.7007362,181,35,“y,2019/11/30,2,0,1,5.253,1
DSC08859-20191130,4,22,male,0,0,0,0,0.998,0,0,0.001,35.66093535,139.7007362,159,35,“y,2019/11/30,2,1,1,5.975,1
