filename,order,age,gender,anger,comtempt,disgust,fear,happiness,neutral,sadness,surprise,Lat,Lon,âÊëúÉTÉCÉY,35mmä∑éZ,ójì˙,ì˙ït,éûä‘ë—,male_tf,happy_tf,distance,èÍèä
DSD07725-200111,1,10,female,0,0,0,0.001,0,0.795,0.142,0.061,35.73472156,139.7367089,201,35,ìy,2020/1/11,2,0,0,4.498515755,4
DSD07725-200111,2,36,male,0,0,0,0,0.968,0.031,0,0,35.73472156,139.7367089,184,35,ìy,2020/1/11,2,1,1,5.167699275,4
DSD07725-200111,3,19,male,0,0,0,0,0.949,0.049,0.001,0.001,35.73472156,139.7367089,162,35,ìy,2020/1/11,2,1,1,5.86473251,4
DSD07725-200111,4,24,female,0,0,0.002,0.001,0,0.364,0.631,0.001,35.73472156,139.7367089,115,35,ìy,2020/1/11,2,0,0,7.836449275,4
DSD07725-200111,5,19,female,0,0.001,0.001,0,0.499,0.495,0.004,0,35.73472156,139.7367089,108,35,ìy,2020/1/11,2,0,1,8.342098765,4
DSD07725-200111,6,22,female,0.001,0.001,0.001,0,0,0.668,0.329,0,35.73472156,139.7367089,65,35,ìy,2020/1/11,2,0,0,13.8375641,4
DSD07725-200111,7,31,female,0,0,0,0,0.995,0.004,0,0,35.73472156,139.7367089,44,35,ìy,2020/1/11,2,0,1,20.42515152,4
DSD07725-200111,8,22,female,0,0,0,0,0.003,0.994,0.003,0,35.73472156,139.7367089,43,35,ìy,2020/1/11,2,0,0,20.89934109,4
DSD07725-200111,9,19,female,0,0.001,0,0,0.608,0.391,0,0,35.73472156,139.7367089,38,35,ìy,2020/1/11,2,0,1,23.64464912,4
DSD07725-200111,10,45,female,0.001,0,0,0.001,0.005,0.771,0.003,0.218,35.73472156,139.7367089,36,35,ìy,2020/1/11,2,0,0,24.9562963,4
DSD07726-200111,1,43,female,0,0,0,0,0,0.998,0.002,0,35.73484178,139.7364601,223,35,ìy,2020/1/11,2,0,0,4.058168909,4
DSD07726-200111,2,32,female,0,0,0,0,1,0,0,0,35.73484178,139.7364601,44,35,ìy,2020/1/11,2,0,1,20.42515152,4
DSD07726-200111,3,30,female,0,0,0,0,0.007,0.992,0,0.001,35.73484178,139.7364601,43,35,ìy,2020/1/11,2,0,0,20.89934109,4
DSD07726-200111,4,54,female,0,0,0,0.001,0.051,0.861,0.001,0.086,35.73484178,139.7364601,37,35,ìy,2020/1/11,2,0,0,24.28274775,4
DSD07727-200111,1,34,female,0,0,0,0,0.001,0.903,0.095,0.001,35.73496585,139.7362619,164,35,ìy,2020/1/11,2,0,0,5.505528455,4
