filename,order,age,gender,anger,comtempt,disgust,fear,happiness,neutral,sadness,surprise,Lat,Lon,âÊëúÉTÉCÉY,35mmä∑éZ,ójì˙,ì˙ït,éûä‘ë—,male_tf,happy_tf,kao,distance,èÍèä
DSD06648-1221,3,6,female,0,0.001,0,0,0.226,0.771,0.001,0.001,35.67136972,139.7042358,389,35,ìy,2019/12/21,2,0,0,153.8,2.341341045,2
DSD06648-1221,4,16,female,0.004,0,0,0,0,0.994,0.002,0,35.67136972,139.7042358,177,35,ìy,2019/12/21,2,0,0,153.8,5.10373823,2
DSD06648-1221,5,17,female,0,0,0,0,0,1,0,0,35.67136972,139.7042358,85,35,ìy,2019/12/21,2,0,0,153.8,10.58990196,2
DSD06649-1221,1,23,male,0,0,0,0,0,0.998,0.001,0.001,35.67133333,139.7043111,430,35,ìy,2019/12/21,2,1,0,161.9,2.231317829,2
DSD06649-1221,2,35,female,0,0.005,0,0,0.638,0.355,0,0.001,35.67133333,139.7043111,248,35,ìy,2019/12/21,2,0,1,153.8,3.652607527,2
DSD06649-1221,3,21,female,0.003,0,0,0,0,0.978,0.006,0.011,35.67133333,139.7043111,194,35,ìy,2019/12/21,2,0,0,153.8,4.659570447,2
DSD06649-1221,4,19,female,0,0.286,0,0,0.005,0.696,0.013,0,35.67133333,139.7043111,156,35,ìy,2019/12/21,2,0,0,153.8,5.786068376,2
DSD06649-1221,5,19,male,0.001,0.001,0,0,0,0.988,0.01,0,35.67133333,139.7043111,149,35,ìy,2019/12/21,2,1,0,161.9,6.37336689,2
DSD06649-1221,6,19,male,0,0,0,0,0,0.997,0.003,0,35.67133333,139.7043111,125,35,ìy,2019/12/21,2,1,0,161.9,7.590333333,2
DSD06649-1221,7,40,male,0.001,0.003,0.004,0.001,0.02,0.654,0.003,0.316,35.67133333,139.7043111,121,35,ìy,2019/12/21,2,1,0,161.9,7.840096419,2
DSD06649-1221,8,20,male,0,0,0,0,0.001,0.998,0.001,0,35.67133333,139.7043111,99,35,ìy,2019/12/21,2,1,0,161.9,9.57456229,2
DSD06649-1221,9,19,female,0,0,0,0,0,0.994,0.006,0,35.67133333,139.7043111,94,35,ìy,2019/12/21,2,0,0,153.8,9.579326241,2
DSD06649-1221,10,44,male,0,0,0,0,0.921,0.079,0,0,35.67133333,139.7043111,66,35,ìy,2019/12/21,2,1,1,161.9,14.34434343,2
DSD06649-1221,11,12,female,0,0,0,0,0,0.864,0.136,0,35.67133333,139.7043111,61,35,ìy,2019/12/21,2,0,0,153.8,14.74265027,2
DSD06650-1221,1,18,male,0.003,0,0.001,0,0.006,0.954,0.034,0.001,35.671315,139.704415,136,35,ìy,2019/12/21,2,1,0,161.9,6.979240196,2
DSD06650-1221,3,30,female,0,0,0,0,0.006,0.985,0.005,0.003,35.671315,139.704415,83,35,ìy,2019/12/21,2,0,0,153.8,10.84423695,2
DSD06651-1221,1,27,female,0,0,0,0,0,0.995,0.004,0,35.67127667,139.7045181,444,35,ìy,2019/12/21,2,0,0,153.8,2.055645646,2
DSD06651-1221,2,19,female,0,0.001,0,0,0,0.999,0.001,0,35.67127667,139.7045181,416,35,ìy,2019/12/21,2,0,0,153.8,2.191650641,2
DSD06651-1221,3,21,female,0,0,0,0,0,0.999,0.001,0,35.67127667,139.7045181,366,35,ìy,2019/12/21,2,0,0,153.8,2.486275046,2
DSD06651-1221,4,21,male,0.001,0,0,0,0.002,0.967,0.03,0,35.67127667,139.7045181,311,35,ìy,2019/12/21,2,1,0,161.9,3.071709539,2
DSD06651-1221,5,23,male,0.002,0.001,0,0,0.795,0.201,0,0,35.67127667,139.7045181,171,35,ìy,2019/12/21,2,1,1,161.9,5.557904483,2
DSD06651-1221,6,19,female,0,0.008,0,0,0.01,0.968,0.014,0,35.67127667,139.7045181,116,35,ìy,2019/12/21,2,0,0,153.8,7.769195402,2
