filename,order,age,gender,anger,comtempt,disgust,fear,happiness,neutral,sadness,surprise,Lat,Lon,âÊëúÉTÉCÉY,35mmä∑éZ,ójì˙,ì˙ït,éûä‘ë—,happy_tf,male_tf,distance,ójì˙_tf,,ä¥èÓ,anger,comtempt,disgust,fear,happiness,neutral,sadness,surprise,,150+,,,,,
A7300040,2,20,female,0,0,0,0,0,0.999,0,0,35.65950337,139.6990961,129,34,ì˙,2019/12/8,1,0,0,6.79,1,,,0,0,0,0,0,1,0,0,,,,,,,
A7300041,1,20,female,0,0,0,0,0,0.992,0.005,0.003,35.6594975,139.6994256,161,34,ì˙,2019/12/8,1,0,0,5.447,1,,,0,0,0,0,0,1,0,0,,,,,,,
A7300041,2,20,female,0,0,0,0,0.01,0.987,0.002,0,35.6594975,139.6994256,106,34,ì˙,2019/12/8,1,0,0,8.256,1,,,0,0,0,0,0,1,0,0,,,,,,,
A7300041,5,18,female,0,0,0,0,0.952,0.046,0.002,0,35.6594975,139.6994256,90,34,ì˙,2019/12/8,1,1,0,9.718,1,,,0,0,0,0,1,0,0,0,,,,,,,
A7300041,7,19,female,0,0,0,0,0.001,0.989,0.01,0,35.6594975,139.6994256,71,34,ì˙,2019/12/8,1,0,0,12.309,1,,,0,0,0,0,0,1,0,0,,,,,,,
A7300042,1,28,female,0,0.002,0,0,0.042,0.955,0,0,35.65950628,139.6991929,93,34,ì˙,2019/12/8,1,0,0,9.405,1,,,0,0,0,0,0,1,0,0,,,,,,,
A7300042,2,20,female,0,0,0.001,0,0.917,0.015,0.066,0,35.65950628,139.6991929,84,34,ì˙,2019/12/8,1,1,0,10.409,1,,,0,0,0,0,1,0,0,0,,,,,,,
A7300044,3,27,female,0.002,0.001,0,0.078,0.001,0.786,0.008,0.124,35.65939256,139.6988234,53,34,ì˙,2019/12/8,1,0,0,16.478,1,,,0,0,0,0,0,1,0,0,,,,,,,
A7300045,2,36,female,0,0.001,0,0,0,0.954,0.043,0.002,35.65933653,139.6986013,170,34,ì˙,2019/12/8,1,0,0,5.161,1,,,0,0,0,0,0,1,0,0,,,,,,,
A7300045,3,23,female,0,0,0,0,0.019,0.882,0.099,0,35.65933653,139.6986013,59,34,ì˙,2019/12/8,1,0,0,14.806,1,,,0,0,0,0,0,1,0,0,,,,,,,
A7300046,2,23,female,0,0,0,0,0.003,0.994,0.003,0,35.6592025,139.6984661,60,34,ì˙,2019/12/8,1,0,0,14.56,1,,,0,0,0,0,0,1,0,0,,,,,,,
A7300047,1,23,female,0,0,0,0,0.905,0.086,0.008,0,35.65917945,139.6983067,116,34,ì˙,2019/12/8,1,1,0,7.547,1,,,0,0,0,0,1,0,0,0,,,,,,,
A7300047,2,20,female,0,0,0,0,0,0.999,0,0.001,35.65917945,139.6983067,73,34,ì˙,2019/12/8,1,0,0,11.973,1,,,0,0,0,0,0,1,0,0,,,,,,,
A7300048,1,18,female,0,0,0,0,0,0.961,0.001,0.037,35.65913707,139.6979091,128,34,ì˙,2019/12/8,1,0,0,6.843,1,,,0,0,0,0,0,1,0,0,,,,,,,
A7300048,2,23,female,0,0,0,0,0,0.94,0.06,0,35.65913707,139.6979091,89,34,ì˙,2019/12/8,1,0,0,9.827,1,,,0,0,0,0,0,1,0,0,,,,,,,
A7300048,3,25,female,0,0,0,0,0,0.997,0,0.003,35.65913707,139.6979091,44,34,ì˙,2019/12/8,1,0,0,19.842,1,,,0,0,0,0,0,1,0,0,,,,,,,
A7300049,1,9,female,0.019,0.012,0,0,0,0.916,0.052,0,35.65905688,139.697672,252,34,ì˙,2019/12/8,1,0,0,3.492,1,,,0,0,0,0,0,1,0,0,,,,,,,
A7300049,2,26,female,0,0.003,0.001,0,0.785,0.147,0.064,0,35.65905688,139.697672,219,34,ì˙,2019/12/8,1,1,0,4.014,1,,,0,0,0,0,1,0,0,0,,,,,,,
A7300049,8,15,female,0,0,0,0,0,1,0,0,35.65905688,139.697672,42,34,ì˙,2019/12/8,1,0,0,20.785,1,,,0,0,0,0,0,1,0,0,,,,,,,
