filename,order,age,gender,anger,comtempt,disgust,fear,happiness,neutral,sadness,surprise,Lat,Lon,âÊëúÉTÉCÉY,35mmä∑éZ,ójì˙,ì˙ït,éûä‘ë—,ìyì˙_tf,èÍèä
DSD06232-1218,2,30,male,0,0,0,0,0,0.99,0.01,0,35.65971445,139.702225,51,35,êÖ,2019/12/18,2,0,ã{âvç‚
DSD06233-1218,2,16,male,0,0,0,0,0,0.999,0.001,0,35.65963,139.7023075,48,35,êÖ,2019/12/18,2,0,ã{âvç‚
DSD06234-1218,2,29,male,0,0,0,0,0.008,0.991,0,0,35.65955945,139.7023603,42,35,êÖ,2019/12/18,2,0,ã{âvç‚
DSD06235-1218,2,19,female,0,0,0,0.001,0,0.975,0.001,0.023,35.65948833,139.7022886,243,35,êÖ,2019/12/18,2,0,ã{âvç‚
DSD06238-1218,2,20,male,0,0,0,0,0,0.989,0.002,0.009,35.65943667,139.7024636,177,35,êÖ,2019/12/18,2,0,ã{âvç‚
DSD06239-1218,2,20,female,0,0,0,0,0.013,0.982,0.001,0.005,35.65947667,139.7025019,89,35,êÖ,2019/12/18,2,0,ã{âvç‚
DSD06241-1218,2,58,male,0,0,0,0,0,0.932,0,0.067,35.65944139,139.7025375,48,35,êÖ,2019/12/18,2,0,ã{âvç‚
DSD06242-1218,2,26,male,0.004,0.002,0,0,0,0.987,0.006,0.001,35.65945695,139.7024778,49,35,êÖ,2019/12/18,2,0,ã{âvç‚
DSD06243-1218,2,53,female,0,0.001,0,0,0.003,0.854,0.142,0,35.65954667,139.7021747,281,35,êÖ,2019/12/18,2,0,ã{âvç‚
DSD06244-1218,2,19,male,0,0,0,0,0.991,0.005,0,0.003,35.65952556,139.7021856,269,35,êÖ,2019/12/18,2,0,ã{âvç‚
DSD06250-1218,2,61,female,0,0,0,0,0.007,0.854,0.137,0.001,35.65937528,139.7025486,251,35,êÖ,2019/12/18,2,0,ã{âvç‚
DSD06251-1218,2,56,female,0,0.001,0,0,0,0.846,0.154,0,35.65946945,139.7025042,126,35,êÖ,2019/12/18,2,0,ã{âvç‚
DSD06254-1218,2,19,female,0,0,0,0,0,0.937,0.063,0,35.6597106,139.702292,259,35,êÖ,2019/12/18,2,0,ã{âvç‚
DSD06255-1218,2,62,male,0,0,0,0,0,0.994,0.006,0,35.6597106,139.702292,196,35,êÖ,2019/12/18,2,0,ã{âvç‚
A7300222,3,63,male,0.01,0.001,0,0,0,0.981,0.008,0,35.65961083,139.7022903,67,70,ì˙,2019/12/8,1,1,ã{âvç‚
A7300223,3,20,female,0,0,0,0,0,0.994,0.006,0,35.65961528,139.7023628,56,70,ì˙,2019/12/8,1,1,ã{âvç‚
A7300225,3,40,female,0,0,0,0,0,0.953,0.04,0.007,35.659825,139.7022933,53,70,ì˙,2019/12/8,1,1,ã{âvç‚
A7300227,3,33,male,0,0,0,0,0,0.997,0.001,0.001,35.65977528,139.70232,56,49,ì˙,2019/12/8,1,1,ã{âvç‚
A7300228,3,40,male,0,0,0,0,0,0.849,0.151,0,35.65941583,139.7022667,90,62,ì˙,2019/12/8,1,1,ã{âvç‚
A7300229,3,31,female,0,0,0,0,0.996,0.004,0,0,35.65973722,139.7025075,115,69,ì˙,2019/12/8,1,1,ã{âvç‚
A7300230,3,34,male,0,0,0.001,0.005,0.001,0.872,0.034,0.087,35.65970222,139.7025433,121,70,ì˙,2019/12/8,1,1,ã{âvç‚
A7300231,3,24,male,0,0.001,0,0,0.001,0.958,0.039,0.001,35.6596925,139.7025483,48,70,ì˙,2019/12/8,1,1,ã{âvç‚
A7300232,3,42,female,0,0,0,0,0,0.952,0.047,0,35.65972889,139.7025378,45,70,ì˙,2019/12/8,1,1,ã{âvç‚
A7300233,3,24,male,0,0,0.003,0.004,0,0.038,0.003,0.952,35.65976528,139.7024314,85,70,ì˙,2019/12/8,1,1,ã{âvç‚
A7300234,3,22,female,0.125,0,0.003,0,0,0.004,0,0.867,35.65946889,139.7025008,74,70,ì˙,2019/12/8,1,1,ã{âvç‚
A7300237,3,20,female,0,0,0,0,0,0.929,0.071,0,35.65949306,139.7025264,104,70,ì˙,2019/12/8,1,1,ã{âvç‚
A7300238,3,56,male,0,0,0,0,0,0.994,0.006,0,35.65952583,139.7025669,61,70,ì˙,2019/12/8,1,1,ã{âvç‚
A7300240,3,67,male,0,0.01,0,0,0,0.781,0.209,0,35.65945806,139.7026058,90,36,ì˙,2019/12/8,1,1,ã{âvç‚
A7300241,3,33,female,0,0.001,0,0,0,0.997,0.002,0,35.65945806,139.7026058,92,36,ì˙,2019/12/8,1,1,ã{âvç‚
A7300242,3,15,female,0.005,0.001,0,0,0.004,0.985,0.004,0,35.65949083,139.7026536,135,35,ì˙,2019/12/8,1,1,ã{âvç‚
A7300243,3,21,female,0,0.001,0,0,0.153,0.844,0.001,0,35.65952778,139.7026356,48,35,ì˙,2019/12/8,1,1,ã{âvç‚
A7300244,3,19,female,0.008,0.002,0.014,0,0.023,0.93,0.023,0.001,35.65955778,139.7026233,238,35,ì˙,2019/12/8,1,1,ã{âvç‚
A7300246,3,30,female,0,0.008,0,0,0,0.529,0.463,0,35.65957861,139.7024608,138,35,ì˙,2019/12/8,1,1,ã{âvç‚
A7300247,3,20,female,0,0,0,0,0,0.981,0.019,0,35.65958472,139.7024064,288,35,ì˙,2019/12/8,1,1,ã{âvç‚
A7300250,3,25,female,0,0.078,0,0,0.001,0.867,0.054,0,35.65948945,139.7023661,104,34,ì˙,2019/12/8,1,1,ã{âvç‚
A7300252,3,18,female,0.001,0,0.002,0,0.866,0.118,0.011,0.001,35.65942222,139.7022692,90,34,ì˙,2019/12/8,1,1,ã{âvç‚
